ticker,date_raw,date,q,exchange,nsi_exec,nsi_qa,divergence,exec_words,qa_words,car_5d,car_trajectory,is_overconfident,is_analyst_skeptical,qa_ratio,interaction_tone,target_outperform
AAPL,"Apr 30, 2020, 5:00 p.m. ET",2020-04-30,2020-Q2,NASDAQ: AAPL,0.1958,0.0,0.1958,4160,4096,0.044,"[0.012, 0.0219, 0.0278, 0.0451, 0.044]",1,0,0.98,0.0,1
META,"Jan 27, 2021, 5:00 p.m. ET",2021-01-27,2020-Q4,NASDAQ: META,0.23,0.1658,0.0642,5435,5009,-0.0408,"[-0.036, -0.0419, -0.0437, -0.0382, -0.0408]",1,0,0.92,0.0106,0
KO,"Apr 19, 2021, 8:30 a.m. ET",2021-04-19,2021-Q1,NYSE: KO,0.173,0.0,0.173,10085,265,-0.0122,"[0.01, 0.0088, 0.0149, 0.0045, -0.0122]",1,0,0.03,0.0,0
AMZN,"Oct 27, 2022, 5:30 p.m. ET",2022-10-27,2022-Q3,NASDAQ: AMZN,0.1167,0.1458,-0.0291,2462,2690,-0.1889,"[-0.0927, -0.0946, -0.1456, -0.1689, -0.1889]",0,0,1.09,-0.0042,0
DIS,"Aug 04, 2020, 4:30 p.m. ET",2020-08-04,2020-Q3,NYSE: DIS,0.123,0.17,-0.047,3677,5917,0.1025,"[0.0816, 0.1003, 0.0928, 0.0813, 0.1025]",0,0,1.61,-0.008,1
DIS,"May 13, 2021, 4:30 p.m. ET",2021-05-13,2021-Q2,NYSE: DIS,0.2579,0.3132,-0.0553,3848,5341,-0.0508,"[-0.0409, -0.0592, -0.0531, -0.0526, -0.0508]",0,0,1.39,-0.0173,0
TSLA,"Apr 26, 2021, 5:30 p.m. ET",2021-04-26,2021-Q1,NASDAQ: TSLA,0.0,0.1885,-0.1885,23,8949,-0.073,"[-0.0451, -0.0589, -0.0908, -0.0356, -0.073]",0,0,389.09,-0.0355,0
UPS,"Feb 01, 2022, 8:30 a.m. ET",2022-02-01,2021-Q4,NYSE: UPS,0.2917,0.21,0.0817,4577,4990,-0.0187,"[-0.0033, 0.0064, -0.0158, -0.0109, -0.0187]",1,0,1.09,0.0172,0
INTC,"Jan 21, 2021, 5:00 p.m. ET",2021-01-21,2020-Q4,NASDAQ: INTC,0.0,0.3224,-0.3224,149,9636,-0.0848,"[-0.0898, -0.115, -0.1177, -0.1213, -0.0848]",0,0,64.67,-0.1039,0
NKE,"Sep 25, 2019, 9:30 p.m. ET",2019-09-25,2020-Q1,NYSE: NKE,0.3437,0.2908,0.0529,5211,4218,0.0408,"[0.0174, 0.0242, 0.0366, 0.0314, 0.0408]",1,0,0.81,0.0154,1
IBM,"Jul 18, 2022, 5:00 p.m. ET",2022-07-18,2022-Q2,NYSE: IBM,0.2885,0.2897,-0.0012,3951,5300,-0.1056,"[-0.0801, -0.099, -0.1246, -0.1066, -0.1056]",0,0,1.34,-0.0003,0
KO,"Feb 10, 2021, 8:30 a.m. ET",2021-02-10,2020-Q4,NYSE: KO,0.1077,0.175,-0.0673,3464,5663,0.0225,"[0.0125, 0.0155, 0.0078, 0.0053, 0.0225]",0,0,1.63,-0.0118,1
TSLA,"Apr 29, 2020, 6:30 p.m. ET",2020-04-29,2020-Q1,NASDAQ: TSLA,0.0,0.2763,-0.2763,20,9125,0.0179,"[-0.0141, -0.089, -0.0079, -0.0077, 0.0179]",0,0,456.25,-0.0763,1
BAC,"Apr 15, 2021, 9:00 a.m. ET",2021-04-15,2021-Q1,NYSE: BAC,0.2386,0.2395,-0.0009,5596,8717,-0.0008,"[0.007, 0.0128, -0.0082, -0.0007, -0.0008]",0,0,1.56,-0.0002,0
GOOGL,"Jul 27, 2021, 4:30 p.m. ET",2021-07-27,2021-Q2,NASDAQ: GOOGL,0.2593,0.35,-0.0907,3588,4566,0.0235,"[0.032, 0.0255, 0.0231, 0.0259, 0.0235]",0,0,1.27,-0.0317,1
COST,"Dec 12, 2019, 5:00 p.m. ET",2019-12-12,2020-Q1,NASDAQ: COST,-0.0875,0.0636,-0.1511,2139,9042,-0.0236,"[-0.0185, -0.02, -0.0134, -0.0254, -0.0236]",0,0,4.23,-0.0096,0
IBM,"Jul 20, 2020, 5:00 p.m. ET",2020-07-20,2020-Q2,NYSE: IBM,0.2551,0.1815,0.0736,4732,6081,0.0028,"[-0.0041, 0.0108, 0.0127, 0.0068, 0.0028]",1,0,1.29,0.0134,1
BEST,"May 27, 2020, 9:00 p.m. ET",2020-05-27,2020-Q1,NYSE: BEST,0.2154,0.2435,-0.0281,2823,5076,0.0343,"[0.0035, 0.0132, 0.0242, 0.0292, 0.0361]",0,0,1.8,-0.0068,1
TSLA,"Jul 22, 2020, 6:00 p.m. ET",2020-07-22,2020-Q2,NASDAQ: TSLA,0.0,0.2371,-0.2371,19,9262,-0.0473,"[-0.0375, -0.0948, -0.0156, -0.0502, -0.0473]",0,0,487.47,-0.0562,0
BAC,"Oct 14, 2021, 9:00 a.m. ET",2021-10-14,2021-Q3,NYSE: BAC,0.2526,0.2056,0.047,5079,7198,0.0139,"[0.0214, 0.0161, 0.013, 0.0225, 0.0139]",0,0,1.42,0.0097,1
GE,"Jul 29, 2020, 8:00 a.m. ET",2020-07-29,2020-Q2,NYSE: GE,0.0292,-0.0544,0.0836,5345,5206,-0.0477,"[-0.0463, -0.0843, -0.0849, -0.0836, -0.0477]",1,1,0.97,-0.0045,0
NVDA,"Nov 16, 2022, 5:00 p.m. ET",2022-11-16,2023-Q3,NASDAQ: NVDA,0.2917,0.3231,-0.0314,3991,4240,0.0221,"[-0.0116, -0.0334, -0.0355, -0.002, 0.0221]",0,0,1.06,-0.0101,1
ORCL,"Mar 10, 2021, 5:00 p.m. ET",2021-03-10,2021-Q3,NYSE: ORCL,0.35,0.2625,0.0875,2757,2923,-0.1022,"[-0.0757, -0.0804, -0.0784, -0.0899, -0.1022]",1,0,1.06,0.023,0
AAPL,"Jul 28, 2022, 5:00 p.m. ET",2022-07-28,2022-Q3,NASDAQ: AAPL,0.1615,0.0368,0.1247,3979,4259,0.0341,"[0.0186, 0.0153, 0.0126, 0.0352, 0.0341]",1,0,1.07,0.0046,1
KO,"Jul 21, 2021, 8:30 a.m. ET",2021-07-21,2021-Q2,NYSE: KO,0.2844,0.35,-0.0656,9426,274,-0.0062,"[-0.0034, -0.004, -0.0055, 0.0027, -0.0062]",0,0,0.03,-0.023,0
DIS,"Feb 11, 2021, 4:30 p.m. ET",2021-02-11,2021-Q1,NYSE: DIS,0.1633,0.1633,0.0,3216,5996,-0.036,"[-0.0217, -0.0281, -0.0273, -0.0414, -0.036]",0,0,1.86,0.0,0
T,"Jul 22, 2021, 8:30 a.m. ET",2021-07-22,2021-Q2,NYSE: T,0.0,0.3202,-0.3202,104,10566,-0.0018,"[-0.0051, -0.0065, -0.001, -0.0076, -0.0018]",0,0,101.6,-0.1025,0
MCD,"Jul 28, 2021, 8:30 a.m. ET",2021-07-28,2021-Q2,NYSE: MCD,0.3351,0.1441,0.191,3665,6044,-0.0295,"[0.0051, 0.0051, -0.0038, -0.0251, -0.0295]",1,0,1.65,0.0275,0
AMZN,"Jul 30, 2020, 5:30 p.m. ET",2020-07-30,2020-Q2,NASDAQ: AMZN,0.2864,0.3122,-0.0258,1575,4528,0.0249,"[0.0293, 0.0054, 0.0105, 0.0251, 0.0249]",0,0,2.87,-0.0081,1
TSLA,"Jul 26, 2021, 5:30 p.m. ET",2021-07-26,2021-Q2,NASDAQ: TSLA,0.0,0.2293,-0.2293,20,8432,0.086,"[-0.0148, -0.0112, 0.0315, 0.0515, 0.086]",0,0,421.6,-0.0526,1
AMZN,"Apr 28, 2022, 5:30 p.m. ET",2022-04-28,2022-Q1,NASDAQ: AMZN,0.0603,0.042,0.0183,2827,3012,-0.1713,"[-0.1042, -0.1081, -0.1149, -0.1313, -0.1713]",0,0,1.07,0.0008,0
AAPL,"Jan 28, 2020, 5:00 p.m. ET",2020-01-28,2020-Q1,NASDAQ: AAPL,0.3009,0.2523,0.0486,3262,5067,-0.0014,"[0.0218, 0.0172, -0.0094, -0.0194, -0.0014]",0,0,1.55,0.0123,0
NKE,"Dec 19, 2019, 5:00 p.m. ET",2019-12-19,2020-Q2,NYSE: NKE,0.3196,0.3236,-0.004,6199,3648,-0.0065,"[-0.0167, -0.0168, -0.0156, -0.015, -0.0065]",0,0,0.59,-0.0013,0
KO,"Oct 27, 2021, 8:30 a.m. ET",2021-10-27,2021-Q3,NYSE: KO,0.2198,-0.03,0.2498,4679,5094,-0.0099,"[-0.0005, 0.0035, -0.0019, -0.0068, -0.0099]",1,1,1.09,-0.0075,0
AMZN,"Feb 02, 2021, 5:30 p.m. ET",2021-02-02,2020-Q4,NASDAQ: AMZN,0.35,0.2603,0.0897,1635,5106,-0.0442,"[-0.021, -0.0262, -0.0238, -0.0399, -0.0442]",1,0,3.12,0.0233,0
INTC,"Jul 28, 2022, 5:00 p.m. ET",2022-07-28,2022-Q2,NASDAQ: INTC,0.0,0.188,-0.188,129,10511,-0.1125,"[-0.0998, -0.0791, -0.0981, -0.0996, -0.1125]",0,0,81.48,-0.0353,0
HD,"May 18, 2021, 9:00 a.m. ET",2021-05-18,2021-Q1,NYSE: HD,0.0,0.196,-0.196,26,9101,-0.0146,"[-0.0043, -0.0103, -0.0099, -0.0227, -0.0146]",0,0,350.04,-0.0384,0
GOOGL,"April 28, 2020, 4:30 p.m. ET",2020-04-28,2020-Q1,NASDAQ: GOOGL,0.0,0.1655,-0.1655,40,9673,0.0918,"[0.0623, 0.0749, 0.0811, 0.0811, 0.0918]",0,0,241.82,-0.0274,1
BAC,"Jul 14, 2021, 9:00 a.m. ET",2021-07-14,2021-Q2,NYSE: BAC,0.1959,0.2265,-0.0306,5598,5954,-0.006,"[0.0025, -0.0134, -0.0236, -0.0182, -0.006]",0,0,1.06,-0.0069,0
IBM,"Jan 21, 2021, 5:00 p.m. ET",2021-01-21,2020-Q4,NYSE: IBM,0.2235,0.2391,-0.0156,5277,7280,-0.0692,"[-0.096, -0.0999, -0.0654, -0.0399, -0.0692]",0,0,1.38,-0.0037,0
GS,"Oct 14, 2020, 9:30 a.m. ET",2020-10-14,2020-Q3,NYSE: GS,0.1417,0.0527,0.089,4749,7810,-0.0245,"[-0.0109, -0.0225, -0.0087, -0.0021, -0.0245]",1,0,1.64,0.0047,0
GOOGL,"Apr 27, 2021, 5:00 p.m. ET",2021-04-27,2021-Q1,NASDAQ: GOOGL,0.2625,0.2722,-0.0097,3686,3920,0.0129,"[0.0306, 0.0381, 0.0289, 0.0217, 0.0129]",0,0,1.06,-0.0026,1
LMT,"Oct 18, 2022, 11:00 a.m. ET",2022-10-18,2022-Q3,NYSE: LMT,0.3144,0.2052,0.1092,2800,6972,0.0268,"[0.0255, 0.0434, 0.0428, 0.0372, 0.0268]",1,0,2.49,0.0224,1
NKE,"Mar 21, 2022, 5:00 p.m. ET",2022-03-21,2022-Q3,NYSE: NKE,0.3172,0.3098,0.0074,4532,4741,0.0097,"[0.011, 0.0226, 0.0013, 0.0085, 0.0097]",0,0,1.05,0.0023,1
LMT,"Jan 26, 2021, 11:00 a.m. ET",2021-01-26,2020-Q4,NYSE: LMT,0.0,0.2663,-0.2663,42,8474,0.012,"[0.0312, 0.0076, 0.0083, -0.0009, 0.012]",0,0,201.76,-0.0709,1
JNJ,"Apr 20, 2021, 8:30 a.m. ET",2021-04-20,2021-Q1,NYSE: JNJ,0.0,0.2796,-0.2796,115,11345,-0.0325,"[-0.0086, -0.0079, -0.0168, -0.027, -0.0325]",0,0,98.65,-0.0782,0
INTC,"Oct 22, 2020, 5:00 p.m. ET",2020-10-22,2020-Q3,NASDAQ: INTC,0.0,0.1786,-0.1786,144,8477,-0.1517,"[-0.1092, -0.1213, -0.1414, -0.1366, -0.1517]",0,0,58.87,-0.0319,0
AAPL,"Jul 30, 2020, 5:00 p.m. ET",2020-07-30,2020-Q3,NASDAQ: AAPL,0.2297,0.294,-0.0643,3881,4211,0.1438,"[0.097, 0.115, 0.1181, 0.1153, 0.1438]",0,0,1.09,-0.0189,1
GOOGL,"April 29, 2019, 4:30 p.m. ET",2019-04-29,2019-Q1,NASDAQ: GOOGL,0.0,0.266,-0.266,33,8842,-0.0757,"[-0.076, -0.0899, -0.0935, -0.0834, -0.0757]",0,0,267.94,-0.0708,0
NFLX,"Apr 19, 2022, 6:00 p.m. ET",2022-04-19,2022-Q1,NASDAQ: NFLX,0.2188,0.3241,-0.1053,4050,4030,-0.4141,"[-0.3505, -0.371, -0.3557, -0.3874, -0.4141]",0,0,1.0,-0.0341,0
UNH,"Jan 20, 2021, 8:45 a.m. ET",2021-01-20,2020-Q4,NYSE: UNH,0.2932,-0.0078,0.301,4205,4616,-0.0251,"[0.0115, -0.0064, -0.0093, -0.0213, -0.0251]",1,1,1.1,-0.0023,0
GE,"Jul 27, 2021, 8:00 a.m. ET",2021-07-27,2021-Q2,NYSE: GE,0.1925,0.1212,0.0713,4397,4939,-0.0191,"[0.004, 0.012, -0.0082, -0.0353, -0.0191]",1,0,1.12,0.0086,0
GOOGL,"Feb 2, 2021, 5:00 p.m. ET",2021-02-02,2020-Q4,NASDAQ: GOOGL,0.1978,0.2026,-0.0048,3838,4116,0.0589,"[0.0718, 0.0584, 0.0717, 0.0622, 0.0589]",0,0,1.07,-0.001,1
TSLA,"Jan 27, 2021, 6:30 p.m. ET",2021-01-27,2020-Q4,NASDAQ: TSLA,0.0,0.2283,-0.2283,20,9322,-0.028,"[-0.043, -0.0738, -0.0316, -0.0062, -0.028]",0,0,466.1,-0.0521,0
NKE,"Dec 20, 2022, 5:00 p.m. ET",2022-12-20,2023-Q2,NYSE: NKE,0.308,0.297,0.011,4502,4955,0.125,"[0.1069, 0.1294, 0.1196, 0.1349, 0.125]",0,0,1.1,0.0033,1
TXN,"Jan 26, 2021, 4:30 p.m. ET",2021-01-26,2020-Q4,NASDAQ: TXN,0.35,0.2625,0.0875,1461,3595,0.0333,"[-0.0241, 0.0048, 0.0091, 0.0339, 0.0333]",1,0,2.46,0.023,1
NFLX,"Jan 19, 2021, 6:00 p.m. ET",2021-01-19,2020-Q4,NASDAQ: NFLX,0.2849,0.21,0.0749,3895,3856,0.1132,"[0.1546, 0.1432, 0.1209, 0.1025, 0.1132]",1,0,0.99,0.0157,1
MCD,"Jan 28, 2021, 8:30 a.m. ET",2021-01-28,2020-Q4,NYSE: MCD,0.0,0.2616,-0.2616,32,9392,-0.0022,"[0.0242, 0.0086, 0.0035, -0.0025, -0.0022]",0,0,293.5,-0.0684,0
UNH,"Apr 14, 2022, 8:45 a.m. ET",2022-04-14,2022-Q1,NYSE: UNH,0.0,0.2714,-0.2714,18,10048,0.0017,"[-0.0012, -0.0105, 0.0056, 0.0047, 0.0017]",0,0,558.22,-0.0737,1
AMZN,"Apr 29, 2021, 5:30 p.m. ET",2021-04-29,2021-Q1,NASDAQ: AMZN,0.35,0.3231,0.0269,508,5115,-0.0458,"[0.0061, -0.02, -0.0354, -0.0486, -0.0458]",0,0,10.07,0.0087,0
AMD,"May 03, 2022, 5:00 p.m. ET",2022-05-03,2022-Q1,NASDAQ: AMD,0.0,0.3276,-0.3276,216,9799,0.0251,"[0.0611, 0.0409, 0.0623, 0.0001, 0.0251]",0,0,45.37,-0.1073,1
